# Export aus VertriebsSystem v4.2 - 03.01.2026
Auftragsdatum,Region,Produktgruppe,Produkt,Umsatz,Marge
2025-03-06,West,Bürobedarf,Notizbuch,511.91,0.38
2025-03-06,Ost,Technik,Dockingstation,1146.85,0.26
2025-03-06,Ost,Möbel,Schreibtisch,2615.25,0.33
2025-03-06,West,Möbel,Bürostuhl,1130.71,0.31
2025-03-06,West,Technik,Tastatur,566.27,0.27
2025-03-07,Ost,Verbrauchsmaterial,Toner,626.58,0.47
2025-03-07,West,Bürobedarf,Druckerpapier,361.80,0.37
2025-03-07,Süd,Zubehör,Monitorarm,263.04,0.39
2025-03-07,Süd,Zubehör,USB-Hub,951.52,0.28
2025-03-07,West ,Zubehör,USB-Hub,577.13,0.31
2025-03-08,Süd,Möbel,Schreibtisch,3034.23,0.33
2025-03-08,Süd,Bürobedarf,Ordner,414.54,0.41
2025-03-08,Ost,Technik,Tastatur,1077.18,0.25
2025-03-08,Nord ,Bürobedarf,Druckerpapier,325.98,0.37
2025-03-08,West,Möbel,Regal,733.49,0.28
2025-03-08,Süd ,Technik,Headset,700.30,0.31
2025-03-08,West,Bürobedarf,Druckerpapier,745.26,0.36
2025-03-08,Ost,Technik,Monitor,1404.59,0.37
2025-03-09,West,Zubehör,Kabelkanal,468.00,0.33
2025-03-09,Süd,Bürobedarf,Druckerpapier,421.89,0.33
2025-03-09,Süd,Möbel,Rollcontainer,3169.20,0.30
2025-03-09,Nord,Verbrauchsmaterial,Toner,199.49,0.44
2025-03-09,West,Möbel,Rollcontainer,1313.89,0.36
2025-03-09,West,Verbrauchsmaterial,Druckerpatrone,467.52,0.32
2025-03-09,Nord,Technik,Headset,556.44,0.35
2025-03-09,West,Verbrauchsmaterial,Druckerpatrone,1058.52,0.38
2025-03-10,Süd,Zubehör,Kabelkanal,314.53,0.33
2025-03-10,Süd,Verbrauchsmaterial,Etiketten,599.45,0.33
2025-03-10,Süd,Verbrauchsmaterial,Toner,282.36,0.28
2025-03-10,West,Bürobedarf,Ordner,267.13,0.41
2025-03-10,West ,Bürobedarf,Stiftebox,183.01,0.36
2025-03-10,Ost,Zubehör,Handballenauflage,339.88,0.37
2025-03-11,Süd,Technik,Dockingstation,1620.62,0.30
2025-03-11,Nord,Technik,Monitor,613.47,0.30
2025-03-11,West,Möbel,Schreibtisch,3930.15,0.29
2025-03-12,Süd,Verbrauchsmaterial,Druckerpatrone,637.19,0.44
2025-03-12,Ost,Technik,Tastatur,1376.44,0.24
2025-03-12,Süd,Technik,Monitor,282.06,0.31
2025-03-12,Nord,Verbrauchsmaterial,Druckerpatrone,275.98,0.34
2025-03-12,West,Technik,Headset,1527.00,0.24
2025-03-12,Ost,Bürobedarf,Ordner,301.83,0.34
2025-03-12,Nord,Bürobedarf,Notizbuch,392.08,0.37
2025-03-13,Süd,Bürobedarf,Stiftebox,80.72,0.39
2025-03-13,West,Verbrauchsmaterial,Etiketten,380.67,0.29
2025-03-13,West ,Zubehör,USB-Hub,281.75,0.36
2025-03-13,Ost,möbel,Rollcontainer,1765.88,0.24
2025-03-13,Süd,Verbrauchsmaterial,Etiketten,783.29,0.41
2025-03-13,West,Möbel,Rollcontainer,1421.21,0.33
2025-03-13,Ost ,Möbel,Rollcontainer,2605.36,0.38
2025-03-13,Nord,Technik,Dockingstation,635.82,0.38
2025-03-14,Nord,Bürobedarf,Ordner,551.36,0.29
2025-03-14,Ost,Verbrauchsmaterial,Klebeband,531.71,0.38
2025-03-14,West,Bürobedarf,Ordner,362.11,0.39
2025-03-14,Nord,Bürobedarf,Stiftebox,220.94,0.39
2025-03-14,Nord,Bürobedarf,Stiftebox,428.85,0.43
2025-03-14,Süd,Verbrauchsmaterial,Etiketten,431.71,0.40
2025-03-14,Nord,Zubehör,Kabelkanal,908.92,0.32
2025-03-15,Süd,Verbrauchsmaterial,Klebeband,514.06,0.45
2025-03-15,Süd,Bürobedarf,Ordner,217.59,0.33
2025-03-15,Nord,Technik,Dockingstation,847.68,0.24
2025-03-15,Nord,Technik,Headset,1788.70,0.32
2025-03-15,Nord,Technik,Dockingstation,2069.43,0.29
2025-03-15,West,Zubehör,Monitorarm,305.31,0.25
2025-03-15,Nord ,Bürobedarf,Stiftebox,149.17,0.36
2025-03-16,Süd,Zubehör,Kabelkanal,870.63,0.35
2025-03-16,Nord,Technik,Tastatur,899.14,0.29
2025-03-16,West,Verbrauchsmaterial,Etiketten,229.21,0.34
2025-03-16,Ost ,Technik,Monitor,774.98,0.32
2025-03-16,Ost,Verbrauchsmaterial,Klebeband,632.43,0.38
2025-03-16,Nord,Zubehör,Kabelkanal,799.96,0.37
2025-03-16,Süd,Zubehör,Handballenauflage,864.24,0.33
2025-03-17,Süd,Bürobedarf,Notizbuch,230.10,0.37
2025-03-17,West,Bürobedarf,Notizbuch,662.71,0.47
2025-03-17,Ost,Technik,Monitor,3027.17,0.26
2025-03-17,Nord,Bürobedarf,Ordner,197.12,0.37
2025-03-17,Ost,Bürobedarf,Ordner,408.15,0.33
2025-03-17,Süd,Möbel,Rollcontainer,2257.71,0.34
2025-03-17,Ost ,zubehör,Kabelkanal,873.78,0.31
2025-03-18,Ost ,Verbrauchsmaterial,Druckerpatrone,393.15,0.33
2025-03-18,Ost,Verbrauchsmaterial,Klebeband,251.64,0.37
2025-03-18,Nord ,Bürobedarf,Druckerpapier,296.57,0.38
2025-03-18,Süd,Verbrauchsmaterial,Toner,524.93,0.25
2025-03-18,Süd,Bürobedarf,Stiftebox,286.05,0.42
2025-03-18,Ost ,Möbel,Regal,667.72,0.23
2025-03-18,Ost,Verbrauchsmaterial,Toner,173.47,0.42
2025-03-19,West,Zubehör,Monitorarm,486.18,0.28
2025-03-19,Nord,Bürobedarf,Notizbuch,181.30,0.38
2025-03-19,West,Bürobedarf,Stiftebox,290.68,0.44
2025-03-19,Ost,Verbrauchsmaterial,Druckerpatrone,335.74,0.35
2025-03-20,Ost,Verbrauchsmaterial,Etiketten,361.13,0.30
2025-03-20,Ost,Technik,Dockingstation,2219.30,0.25
2025-03-20,Nord,Verbrauchsmaterial,Druckerpatrone,524.03,0.31
2025-03-20,Nord,Verbrauchsmaterial,Toner,241.94,0.34
2025-03-20,West,Technik,Headset,1119.89,0.25
2025-03-20,Ost,Möbel,Schreibtisch,687.64,0.25
2025-03-20,Süd,Zubehör,USB-Hub,187.40,0.33
2025-03-20,Nord,Bürobedarf,Ordner,695.69,0.31
2025-03-20,Nord,Möbel,Regal,647.38,0.32
2025-03-20,West,Verbrauchsmaterial,Etiketten,367.23,0.32
2025-03-21,Ost,Bürobedarf,Ordner,367.56,0.39
2025-03-22,Nord,Verbrauchsmaterial,Etiketten,491.78,0.39
2025-03-22,Ost ,Verbrauchsmaterial,Klebeband,537.50,0.28
2025-03-22,West,Bürobedarf,Stiftebox,323.80,0.46
2025-03-22,West,Möbel,Rollcontainer,1235.76,0.33
2025-03-22,Süd,Technik,Tastatur,1801.02,0.32
2025-03-22,Süd,Möbel,Bürostuhl,1173.86,0.31
2025-03-23,Ost,Möbel,Rollcontainer,502.58,0.31
2025-03-23,West,Bürobedarf,Stiftebox,501.13,0.33
2025-03-23,West ,Zubehör,Handballenauflage,382.42,0.32
2025-03-23,Nord,Zubehör,Kabelkanal,833.49,0.32
2025-03-23,Süd,Zubehör,Kabelkanal,333.33,0.30
2025-03-23,West,Zubehör,USB-Hub,582.63,0.36
2025-03-23,Nord,Bürobedarf,Notizbuch,687.02,0.37
2025-03-23,Ost,verbrauchsmaterial,Etiketten,306.34,0.34
2025-03-23,West,Technik,Monitor,1899.52,0.34
2025-03-24,West,Verbrauchsmaterial,Druckerpatrone,409.20,0.35
2025-03-24,Ost,Technik,Monitor,997.28,0.39
2025-03-24,West,Verbrauchsmaterial,Klebeband,613.61,0.42
2025-03-24,Nord,Bürobedarf,Druckerpapier,233.80,0.38
2025-03-24,Nord,Verbrauchsmaterial,Klebeband,568.53,0.40
2025-03-24,West ,Technik,Headset,1080.11,0.28
2025-03-24,Ost,Bürobedarf,Notizbuch,155.53,0.41
2025-03-24,Süd,Verbrauchsmaterial,Druckerpatrone,757.77,0.35
2025-03-24,West,Bürobedarf,Notizbuch,189.72,0.40
2025-03-24,West,Bürobedarf,Notizbuch,541.42,0.42
2025-03-24,Süd,verbrauchsmaterial,Toner,248.10,0.37
2025-03-25,West,Verbrauchsmaterial,Klebeband,628.43,0.36
2025-03-25,Ost,Bürobedarf,Druckerpapier,276.52,0.40
2025-03-25,Nord,Bürobedarf,Stiftebox,199.18,0.36
2025-03-26,Süd,Technik,Headset,818.19,0.25
2025-03-26,Süd,Zubehör,Kabelkanal,1070.16,0.31
2025-03-26,West,zubehör,USB-Hub,483.62,0.31
2025-03-26,Ost,Verbrauchsmaterial,Etiketten,414.96,0.37
2025-03-27,Nord ,Verbrauchsmaterial,Etiketten,239.37,0.36
2025-03-27,Ost,Bürobedarf,Stiftebox,871.71,0.43
2025-03-28,Ost,Bürobedarf,Druckerpapier,178.52,0.38
2025-03-28,Ost,Verbrauchsmaterial,Etiketten,915.19,0.37
2025-03-28,West,Verbrauchsmaterial,Druckerpatrone,446.09,0.33
2025-03-28,West,Zubehör,USB-Hub,663.02,0.31
2025-03-28,Süd,Technik,Dockingstation,389.82,0.25
2025-03-29,Ost,Verbrauchsmaterial,Klebeband,148.77,0.29
2025-03-29,Nord,Technik,Headset,1190.57,0.40
2025-03-29,Ost,Technik,Monitor,1264.84,0.31
2025-03-29,West,Technik,Dockingstation,2418.76,0.27
2025-03-29,Ost,Zubehör,Handballenauflage,533.78,0.33
2025-03-29,Nord,Verbrauchsmaterial,Klebeband,198.36,0.29
2025-03-29,West,Technik,Monitor,813.79,0.36
2025-03-29,Nord ,Verbrauchsmaterial,Etiketten,504.15,0.40
2025-03-30,West,Zubehör,Monitorarm,550.83,0.37
2025-03-30,Süd,Zubehör,Handballenauflage,385.43,0.35
2025-03-30,Nord,Zubehör,Kabelkanal,289.06,0.28
2025-03-30,Süd,Bürobedarf,Ordner,223.48,0.38
2025-03-30,West,Möbel,Schreibtisch,4289.86,0.28
2025-03-31,Ost,Technik,Tastatur,595.69,0.28
2025-03-31,Ost,Möbel,Regal,2748.08,0.31
2025-03-31,Ost,Technik,Monitor,1168.09,0.24
2025-03-31,Süd,Verbrauchsmaterial,Klebeband,222.76,0.48
2025-03-31,West ,verbrauchsmaterial,Druckerpatrone,293.36,0.41
2025-03-31,Ost,Verbrauchsmaterial,Druckerpatrone,285.25,0.37
2025-03-31,Süd,Technik,Tastatur,716.75,0.26
2025-03-31,West,Möbel,Schreibtisch,2767.76,0.35
2025-03-31,Nord,Technik,Headset,1284.85,0.29
2025-03-31,West,Verbrauchsmaterial,Etiketten,332.19,0.36
2025-04-01,West,Bürobedarf,Stiftebox,462.24,0.37
2025-04-01,Ost,Bürobedarf,Notizbuch,111.05,0.32
2025-04-01,Süd,Technik,Dockingstation,2446.76,0.30
2025-04-01,West,Verbrauchsmaterial,Toner,240.07,0.35
2025-04-01,Ost,Technik,Dockingstation,694.58,0.31
2025-04-01,West,Technik,Dockingstation,480.95,0.31
2025-04-01,Süd,Technik,Tastatur,1862.62,0.23
2025-04-01,Süd,Technik,Dockingstation,1686.31,0.34
2025-04-02,West,möbel,Rollcontainer,2063.37,0.32
2025-04-02,Ost,Verbrauchsmaterial,Etiketten,965.83,0.29
2025-04-02,Süd,Technik,Headset,1724.34,0.29
2025-04-02,Nord,Bürobedarf,Ordner,433.44,0.27
2025-04-02,Nord,Bürobedarf,Druckerpapier,266.03,0.27

2025-04-02,West ,Bürobedarf,Stiftebox,457.17,0.32
2025-04-02,West,Zubehör,Kabelkanal,509.13,0.35
2025-04-02,Ost,Möbel,Bürostuhl,818.20,0.23
2025-04-03,West,Möbel,Regal,985.54,0.34
2025-04-03,Ost,Technik,Monitor,1238.68,0.39
2025-04-03,Ost,Bürobedarf,Ordner,390.44,0.40
2025-04-03,West,Bürobedarf,Notizbuch,239.62,0.41
2025-04-03,West,Technik,Tastatur,1068.97,0.27
2025-04-04,West,verbrauchsmaterial,Druckerpatrone,420.79,0.34
2025-04-04,West,Technik,Monitor,1580.02,0.33
2025-04-04,Nord,Möbel,Regal,3198.32,0.21
2025-04-04,West ,Verbrauchsmaterial,Klebeband,115.48,0.33
2025-04-04,West,Möbel,Regal,1004.58,0.28
2025-04-04,Nord,Verbrauchsmaterial,Etiketten,488.58,0.25
2025-04-05,West,Technik,Monitor,537.53,0.33
2025-04-05,West,Möbel,Regal,1902.24,0.36
2025-04-05,Süd,Zubehör,Kabelkanal,467.40,0.28
2025-04-05,Süd,Bürobedarf,Ordner,179.97,0.36
2025-04-05,Nord,Bürobedarf,Druckerpapier,373.99,0.26
2025-04-05,Nord,verbrauchsmaterial,Toner,398.12,0.27
2025-04-06,Nord,Bürobedarf,Ordner,341.99,0.22
2025-04-06,Süd,Verbrauchsmaterial,Etiketten,614.44,0.33
2025-04-06,Süd,Verbrauchsmaterial,Klebeband,293.39,0.40
2025-04-06,Nord,Technik,Headset,1011.82,0.14
2025-04-06,Süd,Verbrauchsmaterial,Toner,567.45,0.38
2025-04-06,Ost,Technik,Monitor,813.35,0.31
2025-04-07,West,Verbrauchsmaterial,Klebeband,442.10,0.36
2025-04-07,West,Zubehör,USB-Hub,1042.72,0.41
2025-04-07,Nord,Bürobedarf,Druckerpapier,320.09,0.22
2025-04-07,Süd,Technik,Dockingstation,1735.30,0.37
2025-04-07,Ost,Bürobedarf,Stiftebox,146.00,0.30
2025-04-07,Ost,Bürobedarf,Ordner,157.33,0.40
2025-04-08,Nord,Verbrauchsmaterial,Klebeband,451.18,0.17
2025-04-08,Süd,Bürobedarf,Druckerpapier,211.25,0.40
2025-04-08,Nord,Bürobedarf,Ordner,317.31,0.27
2025-04-08,Ost,Möbel,Schreibtisch,931.26,0.29
2025-04-08,Nord,Verbrauchsmaterial,Druckerpatrone,336.11,0.15
2025-04-09,Süd,Zubehör,Kabelkanal,633.05,0.29
2025-04-09,Süd,Technik,Monitor,1486.83,0.38
2025-04-09,West,Möbel,Bürostuhl,875.53,0.29
2025-04-09,Süd,Zubehör,USB-Hub,284.88,0.39
2025-04-09,Süd,Bürobedarf,Ordner,647.32,0.41
2025-04-09,West,Möbel,Rollcontainer,1255.60,0.34
2025-04-09,West,Zubehör,Monitorarm,731.29,0.33
2025-04-09,Nord,Verbrauchsmaterial,Toner,421.15,0.27
2025-04-09,Ost,Möbel,Regal,1417.82,0.31
2025-04-10,Ost,Verbrauchsmaterial,Druckerpatrone,353.16,0.33
2025-04-10,Ost,Bürobedarf,Stiftebox,699.87,0.35
2025-04-10,Nord ,Möbel,Bürostuhl,1568.98,0.19
2025-04-10,Süd,möbel,Schreibtisch,2661.33,0.26
2025-04-10,Nord ,Bürobedarf,Ordner,180.79,0.28
2025-04-11,Ost,Bürobedarf,Druckerpapier,214.40,0.39
2025-04-11,Süd,Bürobedarf,Notizbuch,450.04,0.35
2025-04-11,Ost,bürobedarf,Druckerpapier,121.18,0.29
2025-04-11,Nord,Technik,Monitor,414.90,0.20
2025-04-12,West,Zubehör,Monitorarm,303.51,0.43
2025-04-12,West,Möbel,Bürostuhl,1737.69,0.31
2025-04-12,Ost ,Bürobedarf,Notizbuch,354.60,0.39
2025-04-12,Nord,Verbrauchsmaterial,Klebeband,621.64,0.22
2025-04-12,Süd ,verbrauchsmaterial,Klebeband,394.11,0.37
2025-04-12,Süd,Bürobedarf,Notizbuch,328.35,0.26
2025-04-13,West,Bürobedarf,Stiftebox,176.30,0.37
2025-04-13,Ost,verbrauchsmaterial,Toner,1013.78,0.34
2025-04-13,Nord,Technik,Tastatur,2611.22,0.17
2025-04-14,West,Bürobedarf,Stiftebox,652.82,0.35
2025-04-14,Nord ,Bürobedarf,Druckerpapier,134.62,0.31
2025-04-14,Ost,Möbel,Bürostuhl,2405.48,0.24
2025-04-15,West,Bürobedarf,Notizbuch,588.49,0.40
2025-04-15,Süd ,Verbrauchsmaterial,Druckerpatrone,1303.24,0.31
2025-04-15,Süd,Verbrauchsmaterial,Etiketten,474.25,0.34
2025-04-15,Nord,Verbrauchsmaterial,Toner,298.07,0.34
2025-04-15,Süd,Zubehör,Kabelkanal,422.57,0.35
2025-04-15,West,zubehör,Kabelkanal,649.98,0.32
2025-04-16,Nord,Technik,Tastatur,1560.57,0.18
2025-04-16,Süd,Verbrauchsmaterial,Etiketten,292.94,0.26
2025-04-16,Süd,Technik,Headset,729.82,0.31
2025-04-16,Ost,Technik,Dockingstation,1888.34,0.26
2025-04-16,Nord,Technik,Headset,2999.08,0.25
2025-04-16,Nord,Verbrauchsmaterial,Toner,440.75,0.28
2025-04-17,Süd,verbrauchsmaterial,Etiketten,979.39,0.39
2025-04-17,West,Bürobedarf,Ordner,418.85,0.33
2025-04-17,Nord,Bürobedarf,Notizbuch,287.33,0.20
2025-04-17,Ost ,Verbrauchsmaterial,Klebeband,644.03,0.39
2025-04-17,West,verbrauchsmaterial,Etiketten,208.13,0.41
2025-04-18,Süd,Verbrauchsmaterial,Etiketten,670.10,0.36
2025-04-18,Süd ,Bürobedarf,Ordner,207.33,0.35
2025-04-18,Nord ,technik,Headset,1614.40,0.19
2025-04-18,Nord,Zubehör,Monitorarm,324.74,0.20
2025-04-18,Süd,Bürobedarf,Ordner,310.21,0.39
2025-04-18,Ost,Verbrauchsmaterial,Etiketten,538.63,0.33
2025-04-18,Süd ,Zubehör,Handballenauflage,712.32,0.33
2025-04-19,Nord,Technik,Dockingstation,831.43,0.22
2025-04-19,West,Technik,Tastatur,1356.18,0.26
2025-04-19,West ,Verbrauchsmaterial,Klebeband,481.33,0.30
2025-04-19,Nord,Zubehör,Monitorarm,415.34,0.22
2025-04-19,Nord ,Technik,Headset,640.50,0.18
2025-04-19,West,Technik,Headset,2230.81,0.29
2025-04-19,Ost ,Bürobedarf,Druckerpapier,146.67,0.37
2025-04-19,Ost,Bürobedarf,Druckerpapier,87.54,0.32
2025-04-19,Nord,bürobedarf,Notizbuch,232.81,0.31
2025-04-19,Nord,Bürobedarf,Druckerpapier,444.37,0.24
2025-04-19,Ost,Technik,Tastatur,969.91,0.30
2025-04-20,West,Zubehör,Kabelkanal,194.15,0.29
2025-04-20,West,Technik,Dockingstation,819.25,0.33
2025-04-20,West,Technik,Headset,1270.27,0.34
2025-04-20,Süd,Technik,Tastatur,370.34,0.34
2025-04-20,Süd,Bürobedarf,Ordner,523.54,0.30
2025-04-20,Ost,Technik,Headset,362.61,0.29
2025-04-20,West,Verbrauchsmaterial,Toner,218.54,0.39
2025-04-21,West,Bürobedarf,Notizbuch,343.44,0.35
2025-04-21,West,Möbel,Rollcontainer,1373.66,0.33
2025-04-21,Ost,Technik,Headset,700.44,0.29
2025-04-21,Nord,Möbel,Bürostuhl,3005.99,0.17
2025-04-21,Ost,Technik,Dockingstation,815.38,0.36
2025-04-21,Nord ,Verbrauchsmaterial,Druckerpatrone,764.83,0.27
2025-04-22,West,Verbrauchsmaterial,Toner,443.34,0.29
2025-04-22,West,Bürobedarf,Notizbuch,307.77,0.32
2025-04-22,West,Verbrauchsmaterial,Toner,156.98,0.30
2025-04-22,Nord,Bürobedarf,Notizbuch,622.08,0.25
2025-04-22,Süd,Technik,Dockingstation,1130.96,0.35
2025-04-22,Ost,Bürobedarf,Notizbuch,341.04,0.39
2025-04-22,West,Technik,Dockingstation,1136.27,0.23
2025-04-23,Nord,Möbel,Schreibtisch,4376.06,0.21
2025-04-23,Ost,Bürobedarf,Ordner,291.32,0.42
2025-04-23,Nord,Bürobedarf,Ordner,424.64,0.26
2025-04-23,Nord,technik,Dockingstation,1759.44,0.23
2025-04-23,Ost,Technik,Headset,421.32,0.32
2025-04-23,Süd,Möbel,Bürostuhl,2719.13,0.30
2025-04-24,Nord,Möbel,Schreibtisch,3514.49,0.15
2025-04-24,West ,Technik,Monitor,1054.35,0.37
2025-04-24,Süd,Technik,Headset,483.04,0.28
2025-04-24,Ost,Möbel,Schreibtisch,883.24,0.23
2025-04-24,West,Bürobedarf,Druckerpapier,276.36,0.30
2025-04-24,Nord,Technik,Dockingstation,1041.71,0.23
2025-04-24,West,Möbel,Rollcontainer,3079.67,0.24
2025-04-25,West,Möbel,Regal,2157.23,0.38
2025-04-25,Nord,Zubehör,Handballenauflage,297.26,0.16
2025-04-25,Ost,Zubehör,USB-Hub,564.80,0.31
2025-04-25,West,Bürobedarf,Druckerpapier,314.27,0.32
2025-04-26,West,Möbel,Regal,983.22,0.26
2025-04-26,West,Verbrauchsmaterial,Klebeband,230.05,0.38
2025-04-26,West,Zubehör,Monitorarm,731.57,0.36
2025-04-26,Ost,Möbel,Rollcontainer,735.65,0.31
2025-04-26,Ost,Bürobedarf,Notizbuch,1138.02,0.28
2025-04-26,West,Bürobedarf,Stiftebox,345.80,0.42
2025-04-27,Süd,Verbrauchsmaterial,Klebeband,127.58,0.39
2025-04-27,Nord,Zubehör,USB-Hub,792.63,0.18
2025-04-27,West,Technik,Headset,1036.64,0.35
2025-04-27,West,Zubehör,Monitorarm,763.64,0.39
2025-04-27,Süd,Bürobedarf,Druckerpapier,245.37,0.35
2025-04-27,Nord,Verbrauchsmaterial,Etiketten,438.46,0.23
2025-04-27,Nord ,Technik,Tastatur,343.44,0.17
2025-04-28,Süd,Verbrauchsmaterial,Klebeband,980.94,0.31
2025-04-28,Nord,Zubehör,USB-Hub,837.81,0.18
2025-04-28,West,Zubehör,Kabelkanal,118.83,0.40
2025-04-28,Süd ,Zubehör,Handballenauflage,476.42,0.39
2025-04-28,Ost,Technik,Monitor,1120.52,0.35
2025-04-28,Ost,Technik,Tastatur,713.42,0.24
2025-04-28,Nord ,Zubehör,Monitorarm,391.80,0.22
2025-04-29,Ost ,Bürobedarf,Druckerpapier,1241.94,0.41
2025-04-29,Nord,Möbel,Rollcontainer,722.97,0.23
2025-04-29,West,Technik,Tastatur,281.02,0.35
2025-04-30,West,Bürobedarf,Stiftebox,346.00,0.35
2025-04-30,West,Bürobedarf,Notizbuch,327.50,0.42
2025-04-30,Ost,Verbrauchsmaterial,Klebeband,622.12,0.32
2025-04-30,Ost,Verbrauchsmaterial,Toner,218.26,0.38
2025-04-30,Nord,Technik,Tastatur,874.08,0.21
2025-04-30,West,Bürobedarf,Ordner,307.91,0.49
2025-05-01,Nord,Bürobedarf,Ordner,119.03,0.30
2025-05-01,Ost,Technik,Headset,845.49,0.33
2025-05-01,Süd,Möbel,Bürostuhl,1885.09,0.32
2025-05-01,Nord,Bürobedarf,Druckerpapier,276.42,0.25
2025-05-01,Süd,Bürobedarf,Stiftebox,172.81,0.40
2025-05-01,Süd,Möbel,Bürostuhl,2381.86,0.37
2025-05-01,Süd,Zubehör,Handballenauflage,260.99,0.27
2025-05-01,Ost,Möbel,Rollcontainer,1673.28,0.32
2025-05-01,Süd,Verbrauchsmaterial,Druckerpatrone,569.27,0.29
2025-05-02,Süd,zubehör,Kabelkanal,675.08,0.42
2025-05-02,Ost ,Verbrauchsmaterial,Klebeband,752.62,0.33
2025-05-02,West,Verbrauchsmaterial,Klebeband,819.29,0.36
2025-05-02,Nord,Zubehör,USB-Hub,821.26,0.13
2025-05-02,Ost,Möbel,Bürostuhl,1394.43,0.24
2025-05-03,Süd,verbrauchsmaterial,Klebeband,676.04,0.32
2025-05-03,Ost,Bürobedarf,Stiftebox,380.85,0.40
2025-05-03,Ost,Bürobedarf,Stiftebox,400.39,0.41
2025-05-03,West,Bürobedarf,Ordner,391.76,0.36
2025-05-03,Süd ,Verbrauchsmaterial,Klebeband,1211.13,0.41
2025-05-04,West,Verbrauchsmaterial,Klebeband,677.07,0.34
2025-05-04,West,Technik,Monitor,2265.46,0.26
2025-05-04,Ost,Bürobedarf,Ordner,414.60,0.38
2025-05-04,Ost,Möbel,Regal,2115.85,0.38
2025-05-04,West,Verbrauchsmaterial,Klebeband,288.89,0.36
2025-05-04,Nord,Verbrauchsmaterial,Etiketten,846.53,0.16
2025-05-05,Ost,Bürobedarf,Stiftebox,216.07,0.31
2025-05-05,Süd,möbel,Regal,426.63,0.31
2025-05-05,Ost ,Bürobedarf,Notizbuch,1230.40,0.34
2025-05-05,Ost,Verbrauchsmaterial,Druckerpatrone,514.00,0.32
2025-05-05,Ost,Technik,Tastatur,528.31,0.25
2025-05-05,Süd,Bürobedarf,Stiftebox,291.39,0.35
2025-05-05,West,Zubehör,Monitorarm,374.97,0.31
2025-05-05,Nord,technik,Dockingstation,565.72,0.17
2025-05-05,West ,Verbrauchsmaterial,Druckerpatrone,267.98,0.32
2025-05-05,West,Verbrauchsmaterial,Etiketten,249.90,0.36
2025-05-06,Nord,Möbel,Rollcontainer,4740.81,0.21
2025-05-06,West,Technik,Dockingstation,790.29,0.31
2025-05-06,West,Bürobedarf,Stiftebox,210.75,0.35
2025-05-06,Ost,Technik,Monitor,2869.66,0.31
2025-05-06,Nord,Technik,Tastatur,1279.19,0.18
2025-05-06,Nord ,Zubehör,Monitorarm,368.40,0.28
2025-05-06,Ost,Möbel,Bürostuhl,1751.15,0.30
2025-05-06,West,Technik,Headset,1149.45,0.34
2025-05-06,Süd,Technik,Tastatur,1357.53,0.38
2025-05-06,Süd,verbrauchsmaterial,Druckerpatrone,170.10,0.41
2025-05-06,Süd,Verbrauchsmaterial,Etiketten,106.28,0.47
2025-05-06,West,Verbrauchsmaterial,Druckerpatrone,249.27,0.39
2025-05-06,Süd,Verbrauchsmaterial,Toner,321.60,0.37
2025-05-07,Süd,Bürobedarf,Notizbuch,239.00,0.38
2025-05-07,Ost,Technik,Monitor,1092.11,0.26
2025-05-07,Süd,Verbrauchsmaterial,Klebeband,593.63,0.39
2025-05-07,Nord,Verbrauchsmaterial,Druckerpatrone,667.61,0.26
2025-05-07,Süd,Bürobedarf,Druckerpapier,261.57,0.35
2025-05-07,Ost,Bürobedarf,Stiftebox,260.66,0.43
2025-05-07,Süd ,Verbrauchsmaterial,Druckerpatrone,1027.30,0.36
2025-05-07,Süd,Bürobedarf,Stiftebox,202.05,0.31
2025-05-07,Nord ,Möbel,Rollcontainer,5666.46,0.16
2025-05-08,Nord,Bürobedarf,Notizbuch,465.46,0.28
2025-05-08,Nord,Möbel,Regal,1795.85,0.16
2025-05-08,Süd,Technik,Tastatur,829.36,0.28
2025-05-08,Süd,Bürobedarf,Ordner,460.84,0.43
2025-05-08,Ost,zubehör,USB-Hub,301.58,0.32
2025-05-08,West,Verbrauchsmaterial,Klebeband,270.53,0.41
2025-05-08,Süd ,Bürobedarf,Ordner,306.96,0.38
2025-05-09,Ost,Technik,Monitor,2200.60,0.31
2025-05-09,Süd,Möbel,Rollcontainer,2539.79,0.36
2025-05-09,Ost,Verbrauchsmaterial,Druckerpatrone,1182.13,0.35
2025-05-09,Ost,Möbel,Schreibtisch,967.66,0.27
2025-05-09,Ost,Möbel,Rollcontainer,2261.38,0.38
2025-05-09,West,Zubehör,Kabelkanal,2145.63,0.33
2025-05-10,Nord,bürobedarf,Druckerpapier,353.62,0.28
2025-05-10,Nord ,Möbel,Bürostuhl,4717.93,0.21
2025-05-10,Nord,Bürobedarf,Druckerpapier,484.41,0.26
2025-05-10,Ost,Technik,Tastatur,1551.71,0.34
2025-05-10,Süd,Verbrauchsmaterial,Toner,442.50,0.34
2025-05-10,West,Verbrauchsmaterial,Klebeband,319.37,0.34
2025-05-10,Nord,Bürobedarf,Druckerpapier,238.77,0.23
2025-05-10,Ost,Bürobedarf,Druckerpapier,279.16,0.38
2025-05-10,Süd,Bürobedarf,Druckerpapier,941.93,0.36
2025-05-11,Süd,Zubehör,Kabelkanal,139.08,0.42
2025-05-11,West ,Verbrauchsmaterial,Etiketten,428.83,0.32
2025-05-11,Nord,Möbel,Schreibtisch,700.43,0.21
